"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"12/31/2007","","112.4900","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"12/31/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"12/31/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-13.0000",""
"12/31/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$13,970.0000",""
"12/28/2007","Sell","60.9400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$60.9400",""
"12/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-24.9400",""
"12/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-16.0000",""
"12/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.0000",""
"12/26/2007","Sell","750.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$750.0000",""
"12/24/2007","","","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: LT CAP GAIN REIN","","$69.6800",""
"12/24/2007","","","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: ST CAP GAIN REINV.","","$429.4400",""
"12/24/2007","Buy","1.8730","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: REINVEST DIVIDEND","$37.2100","$-69.6800",""
"12/24/2007","Buy","11.5410","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: REINVEST DIVIDEND","$37.2100","$-429.4400",""
"12/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"12/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-740.0000",""
"12/21/2007","","","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: CASH DIVIDEND","","$7.5100",""
